ticker	company_name	sector	industry	general_description	customers	products_services	hq_location	exchange	country	logo_url
KLAC	KLA Corporation	Information Technology	Semiconductors	Process control equipment	Chip manufacturers	"Inspection, Metrology, Data Analytics"	"Milpitas, California"	NASDAQ	USA	https://logo.clearbit.com/kla.com
ASML	ASML Holding N.V.	Information Technology	Semiconductors	Lithography systems	Chip manufacturers	"EUV lithography, DUV systems, Metrology"	"Veldhoven, Netherlands"	NASDAQ	Netherlands	https://logo.clearbit.com/asml.com
CRM	Salesforce Inc.	Information Technology	Software	Customer relationship management	Enterprises	"Sales Cloud, Service Cloud, Marketing Cloud"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/salesforce.com
ADBE	Adobe Inc.	Information Technology	Software	Creative and document software	Creatives and enterprises	"Photoshop, Illustrator, Acrobat, Creative Cloud"	"San Jose, California"	NASDAQ	USA	https://logo.clearbit.com/adobe.com
NOW	ServiceNow Inc.	Information Technology	Software	Digital workflow automation platform	Enterprises	"IT Service Management, HR Service Delivery, Security"	"Santa Clara, California"	NYSE	USA	https://logo.clearbit.com/servicenow.com
SNOW	Snowflake Inc.	Information Technology	Software	Cloud data platform	Enterprises	"Data warehouse, Analytics, Data sharing"	"Bozeman, Montana"	NYSE	USA	https://logo.clearbit.com/snowflake.com
NET	Cloudflare Inc.	Information Technology	Software	Web infrastructure and security	Websites and applications	"CDN, DDoS protection, DNS, Security"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/cloudflare.com
CRWD	CrowdStrike Holdings Inc.	Information Technology	Software	Cybersecurity platform	Enterprises	"Endpoint protection, Threat intelligence"	"Austin, Texas"	NASDAQ	USA	https://logo.clearbit.com/crowdstrike.com
ZS	Zscaler Inc.	Information Technology	Software	Cloud security platform	Enterprises	"Zero Trust Exchange, Internet Access, Private Access"	"San Jose, California"	NASDAQ	USA	https://logo.clearbit.com/zscaler.com
OKTA	Okta Inc.	Information Technology	Software	Identity and access management	Enterprises	"Single Sign-On, Multi-Factor Authentication"	"San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/okta.com
DDOG	Datadog Inc.	Information Technology	Software	Monitoring and analytics platform	DevOps teams	"Infrastructure Monitoring, APM, Log Management"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/datadoghq.com
MDB	MongoDB Inc.	Information Technology	Software	Database platform	Developers	"Atlas, Community Server, Enterprise Advanced"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/mongodb.com
INTU	Intuit Inc.	Information Technology	Software	Financial management software	Small businesses and consumers	"QuickBooks, TurboTax, Mint, Credit Karma"	"Mountain View, California"	NASDAQ	USA	https://logo.clearbit.com/intuit.com
ORCL	Oracle Corporation	Information Technology	Software	Enterprise software and cloud computing	Enterprises	"Database, Cloud Applications, Java, MySQL"	"Austin, Texas"	NYSE	USA	https://logo.clearbit.com/oracle.com
ADSK	Autodesk Inc.	Information Technology	Software	Design and engineering software	Architects and engineers	"AutoCAD, Maya, Fusion 360, Revit"	"San Rafael, California"	NASDAQ	USA	https://logo.clearbit.com/autodesk.com
WDAY	Workday Inc.	Information Technology	Software	Cloud-based human capital management	Enterprises	"HR Management, Financial Management, Analytics"	"Pleasanton, California"	NASDAQ	USA	https://logo.clearbit.com/workday.com
TEAM	Atlassian Corporation	Information Technology	Software	Team collaboration software	Software development teams	"Jira, Confluence, Trello, Bitbucket"	"Sydney, Australia"	NASDAQ	Australia	https://logo.clearbit.com/atlassian.com
ZM	Zoom Video Communications	Information Technology	Software	Video conferencing platform	Businesses and consumers	"Zoom Meetings, Zoom Phone, Zoom Rooms"	"San Jose, California"	NASDAQ	USA	https://logo.clearbit.com/zoom.us
DOCU	DocuSign Inc.	Information Technology	Software	Electronic signature platform	Businesses	"eSignature, Contract lifecycle management"	"San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/docusign.com
SPLK	Splunk Inc.	Information Technology	Software	Data analytics platform	Enterprises	"Machine data analytics, Security, IT operations"	"San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/splunk.com
PANW	Palo Alto Networks	Information Technology	Software	Cybersecurity platform	Enterprises	"Firewalls, Cloud security, Threat prevention"	"Santa Clara, California"	NASDAQ	USA	https://logo.clearbit.com/paloaltonetworks.com
FTNT	Fortinet Inc.	Information Technology	Software	Cybersecurity solutions	Enterprises	"Firewalls, Endpoint security, Network security"	"Sunnyvale, California"	NASDAQ	USA	https://logo.clearbit.com/fortinet.com
PYPL	PayPal Holdings Inc.	Information Technology	Software	Digital payments platform	Consumers and merchants	"Online payments, Venmo, Credit services"	"San Jose, California"	NASDAQ	USA	https://logo.clearbit.com/paypal.com
SQ	Block Inc.	Information Technology	Software	Financial services and digital payments	Small businesses and consumers	"Square payments, Cash App, Bitcoin"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/squareup.com
COIN	Coinbase Global Inc.	Information Technology	Software	Cryptocurrency exchange platform	Crypto traders and institutions	"Crypto trading, Wallet, Staking, NFTs"	"San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/coinbase.com
SOFI	SoFi Technologies Inc.	Financials	Consumer Finance	Digital personal finance	Consumers	"Student loans, Personal loans, Investment platform"	"San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/sofi.com
AFRM	Affirm Holdings Inc.	Financials	Consumer Finance	Buy now pay later platform	Consumers and merchants	"Point-of-sale financing, Consumer credit"	"San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/affirm.com
UPST	Upstart Holdings Inc.	Financials	Consumer Finance	AI-powered lending platform	Banks and consumers	"Personal loans, Auto loans, AI underwriting"	"San Mateo, California"	NASDAQ	USA	https://logo.clearbit.com/upstart.com
PLUG	Plug Power Inc.	Energy	Renewable Energy	Hydrogen fuel cell solutions	Commercial and industrial	"Fuel cells, Hydrogen infrastructure, Green hydrogen"	"Latham, New York"	NASDAQ	USA	https://logo.clearbit.com/plugpower.com
ENPH	Enphase Energy Inc.	Energy	Renewable Energy	Solar energy solutions	Residential and commercial	"Solar microinverters, Energy storage, Software"	"Fremont, California"	NASDAQ	USA	https://logo.clearbit.com/enphase.com
SEDG	SolarEdge Technologies	Energy	Renewable Energy	Solar power optimization	Residential and commercial	"Power optimizers, Inverters, Monitoring"	"Herzliya, Israel"	NASDAQ	Israel	https://logo.clearbit.com/solaredge.com
FCEL	FuelCell Energy Inc.	Energy	Renewable Energy	Fuel cell power generation	Utilities and industrial	"Fuel cell power plants, Carbon capture"	"Danbury, Connecticut"	NASDAQ	USA	https://logo.clearbit.com/fuelcellenergy.com
SPWR	SunPower Corporation	Energy	Renewable Energy	Solar energy solutions	Residential and commercial	"Solar panels, Energy storage, Installation"	"San Jose, California"	NASDAQ	USA	https://logo.clearbit.com/sunpower.com
RUN	Sunrun Inc.	Energy	Renewable Energy	Residential solar energy	Homeowners	"Solar installation, Energy storage, Monitoring"	"San Francisco, California"	NASDAQ	USA	https://logo.clearbit.com/sunrun.com
RIVN	Rivian Automotive Inc.	Consumer Discretionary	Automotive	Electric vehicle manufacturer	Consumers and businesses	"Electric trucks, Delivery vans, Charging network"	"Irvine, California"	NASDAQ	USA	https://logo.clearbit.com/rivian.com
LCID	Lucid Group Inc.	Consumer Discretionary	Automotive	Luxury electric vehicles	Consumers	"Lucid Air sedan, Electric powertrains"	"Newark, California"	NASDAQ	USA	https://logo.clearbit.com/lucidmotors.com
NIO	NIO Inc.	Consumer Discretionary	Automotive	Electric vehicle manufacturer	Consumers	"Electric SUVs, Battery swapping, Autonomous driving"	"Shanghai, China"	NYSE	China	https://logo.clearbit.com/nio.com
XPEV	XPeng Inc.	Consumer Discretionary	Automotive	Smart electric vehicle manufacturer	Consumers	"Smart EVs, Autonomous driving, Charging"	"Guangzhou, China"	NYSE	China	https://logo.clearbit.com/xiaopeng.com
LI	Li Auto Inc.	Consumer Discretionary	Automotive	Electric vehicle manufacturer	Consumers	"Extended-range electric vehicles, Li ONE"	"Beijing, China"	NASDAQ	China	https://logo.clearbit.com/lixiang.com
F	Ford Motor Company	Consumer Discretionary	Automotive	Automotive manufacturer	Consumers and businesses	"F-150, Mustang, Explorer, Commercial vehicles"	"Dearborn, Michigan"	NYSE	USA	https://logo.clearbit.com/ford.com
GM	General Motors Company	Consumer Discretionary	Automotive	Automotive manufacturer	Consumers and businesses	"Chevrolet, Cadillac, GMC, Buick"	"Detroit, Michigan"	NYSE	USA	https://logo.clearbit.com/gm.com
SPCE	Virgin Galactic Holdings	Industrials	Aerospace & Defense	Commercial space travel	Space tourists	"Suborbital flights, Space tourism, Research"	"Las Cruces, New Mexico"	NYSE	USA	https://logo.clearbit.com/virgingalactic.com
RKLB	Rocket Lab USA Inc.	Industrials	Aerospace & Defense	Space launch services	Satellite operators	"Rocket launches, Satellite deployment, Space systems"	"Long Beach, California"	NASDAQ	USA	https://logo.clearbit.com/rocketlabusa.com
ASTR	Astra Space Inc.	Industrials	Aerospace & Defense	Rocket launch services	Satellite operators	"Small satellite launches, Launch services"	"Alameda, California"	NASDAQ	USA	https://logo.clearbit.com/astra.com
ASTS	AST SpaceMobile Inc.	Communication Services	Telecommunications	Satellite internet services	Mobile operators	"Space-based cellular broadband, Satellite connectivity"	"Midland, Texas"	NASDAQ	USA	https://logo.clearbit.com/astspacemobile.com
TLRY	Tilray Brands Inc.	Consumer Staples	Personal Products	Cannabis and hemp products	Medical and recreational users	"Cannabis, Hemp products, Beverages"	"New York, New York"	NASDAQ	Canada	https://logo.clearbit.com/tilray.com
CGC	Canopy Growth Corporation	Consumer Staples	Personal Products	Cannabis products	Medical and recreational users	"Cannabis, CBD products, Beverages"	"Smiths Falls, Canada"	NASDAQ	Canada	https://logo.clearbit.com/canopygrowth.com
CRON	Cronos Group Inc.	Consumer Staples	Personal Products	Cannabis products	Medical and recreational users	"Cannabis, Vaporizers, CBD products"	"Toronto, Canada"	NASDAQ	Canada	https://logo.clearbit.com/thecronosgroup.com
ACB	Aurora Cannabis Inc.	Consumer Staples	Personal Products	Cannabis cultivation and products	Medical and recreational users	"Cannabis, CBD oil, Medical marijuana"	"Edmonton, Canada"	NASDAQ	Canada	https://logo.clearbit.com/auroramj.com
SNDL	Sundial Growers Inc.	Consumer Staples	Personal Products	Cannabis cultivation	Medical and recreational users	"Cannabis cultivation, Retail, Investment"	"Calgary, Canada"	NASDAQ	Canada	https://logo.clearbit.com/sundialgrowers.com
MRNA	Moderna Inc.	Health Care	Biotechnology	mRNA-based vaccines and therapeutics	Global health organizations	"COVID-19 vaccine, mRNA platform, Pipeline drugs"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/modernatx.com
BNTX	BioNTech SE	Health Care	Biotechnology	Immunotherapy and mRNA technology	Global health organizations	"COVID-19 vaccine, Cancer immunotherapy"	"Mainz, Germany"	NASDAQ	Germany	https://logo.clearbit.com/biontech.de
PFE	Pfizer Inc.	Health Care	Pharmaceuticals	Pharmaceutical drugs and vaccines	Healthcare providers	"COVID-19 vaccine, Oncology, Primary care"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/pfizer.com
JNJ	Johnson & Johnson	Health Care	Pharmaceuticals	Diversified healthcare products	Healthcare providers and consumers	"Pharmaceuticals, Medical devices, Consumer products"	"New Brunswick, New Jersey"	NYSE	USA	https://logo.clearbit.com/jnj.com
GILD	Gilead Sciences Inc.	Health Care	Biotechnology	Antiviral and oncology drugs	Healthcare providers	"HIV drugs, Hepatitis C, Remdesivir"	"Foster City, California"	NASDAQ	USA	https://logo.clearbit.com/gilead.com
BIIB	Biogen Inc.	Health Care	Biotechnology	Neurological disease treatments	Healthcare providers	"Multiple sclerosis, Alzheimers, Spinal muscular atrophy"	"Cambridge, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/biogen.com
AMGN	Amgen Inc.	Health Care	Biotechnology	Biotechnology medicines	Healthcare providers	"Oncology, Inflammation, Bone health drugs"	"Thousand Oaks, California"	NASDAQ	USA	https://logo.clearbit.com/amgen.com
REGN	Regeneron Pharmaceuticals	Health Care	Biotechnology	Biotechnology medicines	Healthcare providers	"Eye diseases, Cancer, Inflammatory conditions"	"Tarrytown, New York"	NASDAQ	USA	https://logo.clearbit.com/regeneron.com
VRTX	Vertex Pharmaceuticals	Health Care	Biotechnology	Rare disease treatments	Healthcare providers	"Cystic fibrosis, Sickle cell disease"	"Boston, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/vrtx.com
ILMN	Illumina Inc.	Health Care	Life Sciences Tools	DNA sequencing technologies	Research institutions	"Sequencing systems, Consumables, Software"	"San Diego, California"	NASDAQ	USA	https://logo.clearbit.com/illumina.com
BMRN	BioMarin Pharmaceutical	Health Care	Biotechnology	Rare genetic diseases treatments	Healthcare providers	"Enzyme replacement therapy, Gene therapy"	"San Rafael, California"	NASDAQ	USA	https://logo.clearbit.com/biomarin.com
SGEN	Seagen Inc.	Health Care	Biotechnology	Cancer-focused biotechnology	Healthcare providers	"Antibody-drug conjugates, Oncology drugs"	"Bothell, Washington"	NASDAQ	USA	https://logo.clearbit.com/seagen.com
ABBV	AbbVie Inc.	Health Care	Pharmaceuticals	Pharmaceutical drugs	Healthcare providers	"Immunology, Oncology, Neuroscience drugs"	"North Chicago, Illinois"	NYSE	USA	https://logo.clearbit.com/abbvie.com
MRK	Merck & Co Inc.	Health Care	Pharmaceuticals	Pharmaceutical drugs and vaccines	Healthcare providers	"Oncology, Vaccines, Animal health"	"Rahway, New Jersey"	NYSE	USA	https://logo.clearbit.com/merck.com
LLY	Eli Lilly and Company	Health Care	Pharmaceuticals	Pharmaceutical drugs	Healthcare providers	"Diabetes, Oncology, Immunology drugs"	"Indianapolis, Indiana"	NYSE	USA	https://logo.clearbit.com/lilly.com
BMY	Bristol-Myers Squibb	Health Care	Pharmaceuticals	Pharmaceutical drugs	Healthcare providers	"Oncology, Immunology, Cardiovascular drugs"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/bms.com
PTON	Peloton Interactive Inc.	Consumer Discretionary	Consumer Electronics	Connected fitness equipment	Fitness enthusiasts	"Exercise bikes, Treadmills, Fitness content"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/onepeloton.com
BYND	Beyond Meat Inc.	Consumer Staples	Food & Beverages	Plant-based meat products	Consumers and restaurants	"Plant-based burgers, Sausages, Chicken"	"El Segundo, California"	NASDAQ	USA	https://logo.clearbit.com/beyondmeat.com
OATLY	Oatly Group AB	Consumer Staples	Food & Beverages	Oat-based dairy alternatives	Consumers	"Oat milk, Ice cream, Yogurt alternatives"	"Malmo, Sweden"	NASDAQ	Sweden	https://logo.clearbit.com/oatly.com
NFLX	Netflix Inc.	Communication Services	Media & Entertainment	Streaming entertainment service	Global consumers	"Original content, Licensed content, Streaming platform"	"Los Gatos, California"	NASDAQ	USA	https://logo.clearbit.com/netflix.com
DIS	Walt Disney Company	Communication Services	Media & Entertainment	Entertainment and media conglomerate	Global audiences	"Theme parks, Movies, Streaming, Merchandise"	"Burbank, California"	NYSE	USA	https://logo.clearbit.com/disney.com
SPOT	Spotify Technology SA	Communication Services	Media & Entertainment	Audio streaming platform	Global consumers	"Music streaming, Podcasts, Audio advertising"	"Stockholm, Sweden"	NYSE	Sweden	https://logo.clearbit.com/spotify.com
ROKU	Roku Inc.	Communication Services	Media & Entertainment	TV streaming platform	Consumers and advertisers	"Streaming players, Roku TV, Advertising platform"	"San Jose, California"	NASDAQ	USA	https://logo.clearbit.com/roku.com
RBLX	Roblox Corporation	Communication Services	Interactive Media	Online gaming and creation platform	Gamers and developers	"Gaming platform, Developer tools, Virtual items"	"San Mateo, California"	NYSE	USA	https://logo.clearbit.com/corp.roblox.com
EA	Electronic Arts Inc.	Communication Services	Media & Entertainment	Video game publisher	Gamers	"FIFA, Madden NFL, The Sims, Apex Legends"	"Redwood City, California"	NASDAQ	USA	https://logo.clearbit.com/ea.com
ATVI	Activision Blizzard	Communication Services	Media & Entertainment	Video game publisher	Gamers	"Call of Duty, World of Warcraft, Candy Crush"	"Santa Monica, California"	NASDAQ	USA	https://logo.clearbit.com/activision.com
TTWO	Take-Two Interactive	Communication Services	Media & Entertainment	Video game publisher	Gamers	"Grand Theft Auto, Red Dead Redemption, NBA 2K"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/take2games.com
U	Unity Software Inc.	Information Technology	Software	Game development platform	Game developers	"Game engine, AR/VR tools, Analytics"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/unity.com
BABA	Alibaba Group Holding	Consumer Discretionary	E-commerce	E-commerce and cloud computing	Chinese consumers and businesses	"Taobao, Tmall, Alibaba Cloud, Logistics"	"Hangzhou, China"	NYSE	China	https://logo.clearbit.com/alibaba.com
JD	JD.com Inc.	Consumer Discretionary	E-commerce	E-commerce platform	Chinese consumers	"Online retail, Logistics, Technology services"	"Beijing, China"	NASDAQ	China	https://logo.clearbit.com/jd.com
BIDU	Baidu Inc.	Communication Services	Interactive Media	Internet search and AI	Chinese users	"Search engine, AI, Autonomous driving"	"Beijing, China"	NASDAQ	China	https://logo.clearbit.com/baidu.com
PDD	PDD Holdings Inc.	Consumer Discretionary	E-commerce	E-commerce platform	Chinese consumers	"Pinduoduo, Group buying, Agricultural products"	"Shanghai, China"	NASDAQ	China	https://logo.clearbit.com/pdd.com
BRK.B	Berkshire Hathaway Inc.	Financials	Insurance	Diversified conglomerate	Various industries	"Insurance, Railways, Energy, Manufacturing"	"Omaha, Nebraska"	NYSE	USA	https://logo.clearbit.com/berkshirehathaway.com
JPM	JPMorgan Chase & Co.	Financials	Banks	Banking and financial services	Consumers and businesses	"Investment banking, Commercial banking, Asset management"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/jpmorganchase.com
BAC	Bank of America Corporation	Financials	Banks	Banking and financial services	Consumers and businesses	"Consumer banking, Investment banking, Wealth management"	"Charlotte, North Carolina"	NYSE	USA	https://logo.clearbit.com/bankofamerica.com
WFC	Wells Fargo & Company	Financials	Banks	Banking and financial services	Consumers and businesses	"Community banking, Commercial banking, Wealth management"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/wellsfargo.com
C	Citigroup Inc.	Financials	Banks	Banking and financial services	Global consumers and institutions	"Consumer banking, Institutional banking, Markets"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/citigroup.com
GS	Goldman Sachs Group	Financials	Banks	Investment banking and securities	Institutional clients	"Investment banking, Trading, Asset management"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/goldmansachs.com
MS	Morgan Stanley	Financials	Banks	Investment banking and wealth management	Institutional and individual clients	"Investment banking, Wealth management, Trading"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/morganstanley.com
V	Visa Inc.	Information Technology	Software	Payment processing network	Financial institutions	"Payment processing, Credit cards, Digital payments"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/visa.com
MA	Mastercard Incorporated	Information Technology	Software	Payment processing network	Financial institutions	"Payment processing, Credit cards, Digital payments"	"Purchase, New York"	NYSE	USA	https://logo.clearbit.com/mastercard.com
AXP	American Express Company	Financials	Consumer Finance	Credit cards and financial services	Consumers and businesses	"Credit cards, Charge cards, Travel services"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/americanexpress.com
SHOP	Shopify Inc.	Information Technology	Software	E-commerce platform	Merchants	"Online stores, Payments, Shipping solutions"	"Ottawa, Canada"	NYSE	Canada	https://logo.clearbit.com/shopify.com
EBAY	eBay Inc.	Consumer Discretionary	E-commerce	Online marketplace	Consumers and small businesses	"Marketplace, StubHub, Classifieds"	"San Jose, California"	NASDAQ	USA	https://logo.clearbit.com/ebay.com
ETSY	Etsy Inc.	Consumer Discretionary	E-commerce	Online marketplace for handmade goods	Artisans and buyers	"Handmade marketplace, Seller services"	"Brooklyn, New York"	NASDAQ	USA	https://logo.clearbit.com/etsy.com
W	Wayfair Inc.	Consumer Discretionary	E-commerce	Online furniture and home goods	Consumers	"Furniture, Home decor, Improvement supplies"	"Boston, Massachusetts"	NYSE	USA	https://logo.clearbit.com/wayfair.com
CHWY	Chewy Inc.	Consumer Discretionary	E-commerce	Online pet retailer	Pet owners	"Pet food, Supplies, Prescription medications"	"Dania Beach, Florida"	NYSE	USA	https://logo.clearbit.com/chewy.com
SNAP	Snap Inc.	Communication Services	Interactive Media	Camera and social media company	Global users and advertisers	"Snapchat, Spectacles, AR lenses"	"Santa Monica, California"	NYSE	USA	https://logo.clearbit.com/snap.com
PINS	Pinterest Inc.	Communication Services	Interactive Media	Visual discovery platform	Users and advertisers	"Pinterest platform, Shopping features, Advertising"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/pinterest.com
TWTR	Twitter Inc.	Communication Services	Interactive Media	Social networking service	Global users and advertisers	"Social media platform, Advertising, API"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/twitter.com
MTCH	Match Group Inc.	Communication Services	Interactive Media	Online dating services	Singles worldwide	"Tinder, Match.com, Hinge, OkCupid"	"Dallas, Texas"	NASDAQ	USA	https://logo.clearbit.com/match.com
BMBL	Bumble Inc.	Communication Services	Interactive Media	Online dating platform	Singles worldwide	"Bumble, Badoo, Dating apps"	"Austin, Texas"	NASDAQ	USA	https://logo.clearbit.com/bumble.com
